"song.id","bird.id","distance","bg.OBCZ2000","bg.OBCZ2500","bg.OBCZ3150","bg.OBCZ4000","bg.OBCZ5000","bg.OBCZ6300","bg.OBCZ8000","ambient.LAeq","SENEL.total","SEL.LZeq","song.bands.OBCZ2000","song.bands.OBCZ2500","song.bands.OBCZ3150","song.bands.OBCZ4000","song.bands.OBCZ5000","song.bands.OBCZ6300","song.bands.OBCZ8000","location","year"
"PR__ABLA.005_01950","AB3_20",8,18.746,17.434,15.482,13.529,11.646,6.388,7.569,40.093,54.572,71.707,22.974,26.218,52.49,68.54,61.559,47.939,28.096,"ABLA","Y2020"
"PR__ABLA.005_02750","AB3_20",8,29.04,27.367,25.158,28.96,26.496,9.884,8.318,45.373,56.138,73.358,-43.138,-43.238,52.119,69.32,67.36,54.518,31.178,"ABLA","Y2020"
"PR__ABLA.005_03750","AB3_20",8,25.935,19.309,18.571,16.699,13.049,6.879,7.978,47.027,48.542,65.754,-43.138,-43.238,50.416,61.349,58.918,49.874,18.167,"ABLA","Y2020"
"PR__ABLA.005_04700","AB3_20",8,24.702,23.823,20.929,18.452,16.008,7.624,7.906,42.094,57.978,75.219,-43.138,-43.238,54.535,70.921,68.161,57.768,31.14,"ABLA","Y2020"
"PR__ABLA.005_05550","AB3_20",8,14.785,12.699,14.794,20.516,18.316,9.262,8.393,48.459,60.774,78.061,-43.138,-43.238,57.458,73.148,71.796,61.181,34.237,"ABLA","Y2020"
"PR__ABLA.010_00650","AB5_20",14,30.115,22.944,23.041,22.073,19.11,9.068,8.787,NA,53.679,75.803,-38.277,40.735,51.205,68.747,69.643,56.478,32.783,"ABLA","Y2020"
"PR__ABLA.010_01950","AB5_20",14,19.764,17.509,19.811,21.03,18.15,12.216,15.548,37.827,57.092,79.299,37.119,40.66,55.721,72.248,73.559,60.187,-35.977,"ABLA","Y2020"
"PR__ABLA.010_03250","AB5_20",14,18.572,16.502,16.502,17.515,17.295,9.656,17.584,36.489,56.969,79.127,-38.277,40.192,54.586,72.93,72.027,61.125,-35.977,"ABLA","Y2020"
"PR__ABLA.010_04250","AB5_20",14,27.156,26.965,24.87,23.407,20.237,10.015,8.615,47.816,57.462,79.622,-38.277,-38.377,55.406,72.836,73.177,61.206,31.42,"ABLA","Y2020"
"PR__ABLA.016_04100","AB9_20",9,17.425,16.088,15.794,17.017,18.312,7.789,8.274,35.122,50.653,68.803,30.054,31.469,42.131,66.028,59.12,43.803,25.945,"ABLA","Y2020"
"PR__ABLA.016_04750","AB9_20",9,17.425,16.088,15.794,17.017,18.312,7.789,8.274,41.687,50.403,68.567,-42.115,-42.215,48.173,65.615,59.379,45.116,25.191,"ABLA","Y2020"
"PR__ABLA.016_05600","AB9_20",9,17.425,16.088,15.794,17.017,18.312,7.789,8.274,41.401,51.537,69.777,-42.115,-42.215,46.356,65.816,62.88,48.025,25.917,"ABLA","Y2020"
"PR__ABLA.016_06350","AB9_20",9,17.425,16.088,15.794,17.017,18.312,7.789,8.274,42.404,51.2,69.387,-42.115,-42.215,47.085,66.417,61.147,47.263,29.4,"ABLA","Y2020"
"PR__ABLA.016_06900","AB9_20",9,17.425,16.088,15.794,17.017,18.312,7.789,8.274,42.124,55.776,74.036,-42.115,-42.215,53.126,69.181,66.829,52.258,31.851,"ABLA","Y2020"
