ld831.song.id,File.Name,SessionDate,Location,Bird,Rel.Start,Rel.end,BG.start,BG.end,distance
PR__ABLA.005_01950,PR__ABLA.005,4/27/20,ABLA,AB3_20,19.8,21.5,22,25,8
PR__ABLA.005_02750,PR__ABLA.005,4/27/20,ABLA,AB3_20,28,29.5,30,32,8
PR__ABLA.005_03750,PR__ABLA.005,4/27/20,ABLA,AB3_20,37.9,39.5,34,37,8
PR__ABLA.005_04700,PR__ABLA.005,4/27/20,ABLA,AB3_20,47.3,49,43,47,8
PR__ABLA.005_05550,PR__ABLA.005,4/27/20,ABLA,AB3_20,55.85,57.55,58,61,8
PR__ABLA.010_00650,PR__ABLA.010,4/27/20,ABLA,AB5_20,6.6,8.8,0,6,14
PR__ABLA.010_01950,PR__ABLA.010,4/27/20,ABLA,AB5_20,19.6,21.7,23,32,14
PR__ABLA.010_03250,PR__ABLA.010,4/27/20,ABLA,AB5_20,32.7,34.9,30,32,14
PR__ABLA.010_04250,PR__ABLA.010,4/27/20,ABLA,AB5_20,42.7,44.9,48,53,14
PR__ABLA.016_04100,PR__ABLA.016,4/27/20,ABLA,AB9_20,41.2,42.75,34,40,9
PR__ABLA.016_04750,PR__ABLA.016,4/27/20,ABLA,AB9_20,48,49.55,34,40,9
PR__ABLA.016_05600,PR__ABLA.016,4/27/20,ABLA,AB9_20,56.2,57.8,34,40,9
PR__ABLA.016_06350,PR__ABLA.016,4/27/20,ABLA,AB9_20,63.7,65.2,34,40,9
PR__ABLA.016_06900,PR__ABLA.016,4/27/20,ABLA,AB9_20,69.1,71,34,40,9
PR__ABLA.016_08750,PR__ABLA.016,4/27/20,ABLA,AB9_20,87.95,89.4,34,40,9
PR__ABLA.016_11100,PR__ABLA.016,4/27/20,ABLA,AB9_20,111.1,112.9,90,96,9
PR__ABLA.016_12100,PR__ABLA.016,4/27/20,ABLA,AB9_20,122.5,124.2,90,96,9
PR__ABLA.048_00750,PR__ABLA.048,4/29/20,COMW,COMW10_20,8,10.1,13,18,20
PR__ABLA.048_01850,PR__ABLA.048,4/29/20,COMW,COMW10_20,18.6,20.9,1,4,20
PR__ABLA.048_03300,PR__ABLA.048,4/29/20,COMW,COMW10_20,33.5,35.7,13,18,20
PR__ABLA.048_04500,PR__ABLA.048,4/29/20,COMW,COMW10_20,45.3,47.4,13,18,20
PR__ABLA.048_05800,PR__ABLA.048,4/29/20,COMW,COMW10_20,58.1,60.25,13,18,20
PR__COMW.004_06000,PR__COMW.004,4/26/20,COMW,COMW4_20,60.15,62.2,0,42,8
PR__COMW.004_07650,PR__COMW.004,4/26/20,COMW,COMW4_20,76.9,79,0,42,8
PR__COMW.004_09250,PR__COMW.004,4/26/20,COMW,COMW4_20,92.5,94.6,110,122,8
PR__COMW.004_10600,PR__COMW.004,4/26/20,COMW,COMW4_20,106.2,108.3,110,122,8
PR__COMW.004_12350,PR__COMW.004,4/26/20,COMW,COMW4_20,123.8,125.9,110,122,8
PR__COMW.004_14150,PR__COMW.004,4/26/20,COMW,COMW4_20,141.6,143.7,110,122,8
PR__COMW.004_15650,PR__COMW.004,4/26/20,COMW,COMW4_20,156.8,158.9,0,42,8
PR__COMW.004_17550,PR__COMW.004,4/26/20,COMW,COMW4_20,175.7,177.8,0,42,8
PR__COMW.004_19150,PR__COMW.004,4/26/20,COMW,COMW4_20,191.6,193.7,0,42,8
PR__COMW.007_01250,PR__COMW.007,4/26/20,COMW,COMW5_20,12.6,14.7,16,32,9
PR__COMW.007_03350,PR__COMW.007,4/26/20,COMW,COMW5_20,33.95,36.1,16,32,9
PR__COMW.007_04700,PR__COMW.007,4/26/20,COMW,COMW5_20,47.4,49.5,16,32,9
PR__COMW.007_06750,PR__COMW.007,4/26/20,COMW,COMW5_20,67.7,69.75,16,32,9
PR__COMW.007_08950,PR__COMW.007,4/26/20,COMW,COMW5_20,89.8,91.9,16,32,9
PR__COMW.007_10900,PR__COMW.007,4/26/20,COMW,COMW5_20,109.1,110.9,16,32,9
PR__COMW.015_00250,PR__COMW.015,4/26/20,COMW,COMW9_20,2.7,4.6,7,11,13
PR__COMW.015_01150,PR__COMW.015,4/26/20,COMW,COMW9_20,11.8,13,7,11,13
PR__COMW.015_01750,PR__COMW.015,4/26/20,COMW,COMW9_20,17.65,19.55,7,11,13
PR__COMW.015_02450,PR__COMW.015,4/26/20,COMW,COMW9_20,24.6,26.5,7,11,13
PR__COMW.015_03300,PR__COMW.015,4/26/20,COMW,COMW9_20,33.2,35.4,7,11,13
PR__COMW.015_04100,PR__COMW.015,4/26/20,COMW,COMW9_20,41.1,43.2,7,11,13
PR__COMW.015_05000,PR__COMW.015,4/26/20,COMW,COMW9_20,50.2,51.9,7,11,13
PR__COMW.015_05650,PR__COMW.015,4/26/20,COMW,COMW9_20,56.9,58.9,7,11,13
PR__COMW.015_06450,PR__COMW.015,4/26/20,COMW,COMW9_20,64.6,66.6,7,11,13
PR__COMW.015_07150,PR__COMW.015,4/26/20,COMW,COMW9_20,71.7,73.75,7,11,13
PR__COMW.018_00650,PR__COMW.018,4/28/20,COMW,COMW11_20,6.9,8.75,2,6,9
PR__COMW.019_00350,PR__COMW.019,4/28/20,COMW,COMW11_20,3.6,5.5,43,46,14
PR__COMW.019_01350,PR__COMW.019,4/28/20,COMW,COMW11_20,13.7,15.7,24,29,14
PR__COMW.019_02900,PR__COMW.019,4/28/20,COMW,COMW11_20,29.3,31.4,43,46,14
PR__COMW.019_03800,PR__COMW.019,4/28/20,COMW,COMW11_20,38.4,40.5,43,46,14
PR__COMW.019_05500,PR__COMW.019,4/28/20,COMW,COMW11_20,55.2,57.4,43,46,14
SF__BE__.050_00150,SF__BE__.050,4/22/20,FWSC,FS4_20,1.9,3.9,5,10,5
SF__BE__.050_02350,SF__BE__.050,4/22/20,FWSC,FS4_20,23.9,25.5,26.5,30,5
SF__BE__.050_03350,SF__BE__.050,4/22/20,FWSC,FS4_20,33.9,36.2,5,10,5
SF__BE__.100_00350,SF__BE__.100,4/23/20,FWSC,FS12_20,3.9,5.7,6.5,16,6
SF__BE__.100_01650,SF__BE__.100,4/23/20,FWSC,FS12_20,16.7,18.6,6.5,16,6
SF__BE__.100_02650,SF__BE__.100,4/23/20,FWSC,FS12_20,26.7,28.8,30,39,6
SF__BE__.100_04050,SF__BE__.100,4/23/20,FWSC,FS12_20,40.6,42.7,6.5,16,6
SF__BE__.027_00200,SF__BE__.027,4/22/20,BATW,BW3_20,2.15,4,5,16,3
SF__BE__.027_01600,SF__BE__.027,4/22/20,BATW,BW3_20,16.5,18,5,16,3
SF__BE__.027_02850,SF__BE__.027,4/22/20,BATW,BW3_20,28.5,30.05,5,16,3
SF__BE__.027_03550,SF__BE__.027,4/22/20,BATW,BW3_20,35.85,37.65,5,16,3
SF__BE__.027_04300,SF__BE__.027,4/22/20,BATW,BW3_20,43.4,45.4,5,16,3
SF__BE__.026_00900,SF__BE__.026,4/22/20,BATW,BW3_20,9.5,10.95,44,48,3
SF__BE__.026_01600,SF__BE__.026,4/22/20,BATW,BW3_20,16.5,18,44,48,3
SF__BE__.026_02200,SF__BE__.026,4/22/20,BATW,BW3_20,22.65,24,44,48,3
SF__BE__.026_03000,SF__BE__.026,4/22/20,BATW,BW3_20,30.3,32,44,48,3
SF__BE__.026_04100,SF__BE__.026,4/22/20,BATW,BW3_20,41.2,42.95,44,48,3
SF__BE__.026_04900,SF__BE__.026,4/22/20,BATW,BW3_20,49.6,51.3,44,48,3
SF__BE__.030_01700,SF__BE__.030,4/22/20,BATW,BW4A_20,17.3,19.1,20,24,7
SF__BE__.030_07300,SF__BE__.030,4/22/20,BATW,BW4A_20,73.7,75.5,68,73,7
SF__BE__.032_04700,SF__BE__.032,4/22/20,BATW,BW5_20,47.6,50.1,30.5,31.65,7
SF__BE__.056_00000,SF__BE__.056,4/22/20,BATW,BW8_20,0,2,3,5.5,5
SF__BE__.056_00550,SF__BE__.056,4/22/20,BATW,BW8_20,6.1,7.95,3,5.5,5
SF__BE__.056_01200,SF__BE__.056,4/22/20,BATW,BW8_20,12.45,14.6,8.5,12,5
SF__BE__.022_00940,SF__BE__.022,4/22/20,BATW,BW2_20,9.4,11.4,12,14.5,14
SF__BE__.022_01450,SF__BE__.022,4/22/20,BATW,BW2_20,14.7,16.7,12,14.5,14
SF__BE__.022_04200,SF__BE__.022,4/22/20,BATW,BW2_20,42.2,44.2,45,48,14
SF__BE__.055_00220,SF__BE__.055,4/22/20,BATW,BW8_20,2.4,4.4,8,10,13
SF__LD__.008_00570,SF__LD__.008,4/23/20,LODU,LD3_20,5.9,6.8,9,20,13
SF__LD__.008_02070,SF__LD__.008,4/23/20,LODU,LD3_20,20.7,23,9,20,13
SF__LD__.008_03270,SF__LD__.008,4/23/20,LODU,LD3_20,32.7,34.8,24,32,13
SF__LD__.008_04590,SF__LD__.008,4/23/20,LODU,LD3_20,46,48.1,24,32,13
SF__LD__.008_05750,SF__LD__.008,4/23/20,LODU,LD3_20,57.7,59.8,24,32,13
SF__LD__.008_07100,SF__LD__.008,4/23/20,LODU,LD3_20,71.2,73.4,9,20,13
SF__LD__.008_08350,SF__LD__.008,4/23/20,LODU,LD3_20,83.7,85.7,9,20,13
SF__LD__.008_09650,SF__LD__.008,4/23/20,LODU,LD3_20,96.7,98.7,9,20,13
831_Data.127_21910,831_Data.127,6/11/15,COMW,COMW_Ubfence_15,216.9,219.1,190,203,7.5
831_Data.134_01620,831_Data.134,6/11/15,COMW,COMW_UBA_15,14.1,16.2,25,34,21
831_Data.134_03680,831_Data.134,6/11/15,COMW,COMW_UBA_15,34.5,36.8,25,34,21
831_Data.134_13810,831_Data.134,6/11/15,COMW,COMW_UBA_15,136,138.1,127,135,21
831_Data.136_02550,831_Data.136,6/11/15,COMW,COMW_UBB_15,23.4,25.5,51,58.6,19
831_Data.137_07770,831_Data.137,6/11/15,COMW,COMW_UBB_15,75.8,77.7,49,52,12.5
831_Data.138_17160,831_Data.138,6/11/15,COMW,COMW_UBA_15,169.4,171.6,172,178,6
831_Data.139_01070,831_Data.139,6/11/15,COMW,COMW_UB1_15,9.4,10.7,39,48,20
831_Data.139_05040,831_Data.139,6/11/15,COMW,COMW_UB1_15,48.2,50.4,39,48,20
831_Data.140_01540,831_Data.140,6/11/15,COMW,COMW_UB2_15,13.5,15.4,16,24,21
831_Data.140_02590,831_Data.140,6/11/15,COMW,COMW_UB2_15,24.1,25.9,16,24,21
831_Data.145_04950,831_Data.145,6/11/15,ABLA,AB_side_of_road_15,47.4,49.5,24,29,14
831_Data.149_08170,831_Data.149,6/11/15,ABLA,AB_BR_KS,79.5,81.7,40,52,10
831_Data.150_11930,831_Data.150,6/11/15,ABLA,AB_GOO_S,117.4,119.3,120,126,13
831_Data.151_10650,831_Data.151,6/11/15,ABLA,AB_KK_BS,104.6,106.5,123,136,11
831_Data.151_15480,831_Data.151,6/11/15,ABLA,AB_KK_BS,153.3,154.8,123,136,11
831_Data.155_01380,831_Data.155,6/11/15,ABLA,AB_GOO_S,11.8,13.8,15,40,11.5
831_Data.161_01990,831_Data.161,6/12/15,ABLA,AB_GGW_S,17.9,19.9,33,38,14
831_Data.161_03080,831_Data.161,6/12/15,ABLA,AB_GGW_S,28.8,30.8,33,38,14
831_Data.161_13240,831_Data.161,6/12/15,ABLA,AB_GGW_S,130.3,132.4,134,148,10
831_Data.164_28710,831_Data.164,6/12/15,ABLA,AB_RYR_S,284.9,287.1,16,20,12
831_Data.166_02260,831_Data.166,6/12/15,ABLA,AB_GOO_S,20.3,22.6,23,30,16
831_Data.166_05070,831_Data.166,6/12/15,ABLA,AB_GOO_S,48.9,50.7,23,30,16
831_Data.170_08740,831_Data.170,6/12/15,ABLA,AB_GOO_S,85.4,87.4,75,84,16.5
