"song.id","bird.id","location","dialect","region","year","distance","peak_LZeq.band","bg.band","peak_LZeq.total","peak_LZeq.song","song.LZ_peak","song.LZF_peak","max_range","r.eq.p75","r.eq.p50","r.eq.p25","r.F.p75","r.F.p50","r.F.p25","s.F.p75","s.F.p50","s.F.p25"
"PR__ABLA.005_01950","AB3_20","ABLA","Abbot","Rural","Y2020",8,"FFCZ4000",13.529,58.194,57.194,75.256,75.256,31.938,4.667,8.548,21.253,5.173,8.713,14.592,6.292,10.85,20.275
"PR__ABLA.005_02750","AB3_20","ABLA","Abbot","Rural","Y2020",8,"FFCZ4000",28.96,55.746,54.735,72.796,72.796,4.072,1.78,2.817,4.395,2.064,2.92,3.325,2.438,3.127,3.812
"PR__ABLA.005_03750","AB3_20","ABLA","Abbot","Rural","Y2020",8,"FFCZ4000",16.699,48.051,47.047,65.109,65.109,6.894,2.614,4.824,6.968,2.978,4.35,6.156,4.746,6.308,6.937
"PR__ABLA.005_04700","AB3_20","ABLA","Abbot","Rural","Y2020",8,"FFCZ4000",18.452,58.113,57.112,75.174,75.174,17.95,5.034,8.611,18.488,6.276,11.072,13.547,7.324,13.743,15.544
"PR__ABLA.005_05550","AB3_20","ABLA","Abbot","Rural","Y2020",8,"FFCZ5000",18.316,59.647,58.653,76.715,76.715,18.485,5.124,9.902,17.88,6.454,11.077,14.095,9.507,14.771,16.34
"PR__ABLA.010_00650","AB5_20","ABLA","Abbot","Rural","Y2020",14,"FFCZ5000",19.11,52.996,52.494,75.416,75.416,14.527,2.929,5.431,9.535,3.498,6.177,8.586,4.823,6.966,11.883
"PR__ABLA.010_01950","AB5_20","ABLA","Abbot","Rural","Y2020",14,"FFCZ5000",18.15,56.741,56.241,79.163,79.163,24.976,3.942,7.594,18.035,3.368,9.341,15.376,7.26,14.009,20.22
"PR__ABLA.010_03250","AB5_20","ABLA","Abbot","Rural","Y2020",14,"FFCZ4000",17.515,55.654,54.653,77.575,77.575,26.361,5.826,11.457,24.273,7.414,14.586,18.876,11.153,18.607,21.117
"PR__ABLA.010_04250","AB5_20","ABLA","Abbot","Rural","Y2020",14,"FFCZ5000",20.237,56.143,55.641,78.564,78.564,18.333,2.444,7.042,14.316,3.536,8.882,11.459,7.696,11.242,15.892
"PR__ABLA.016_04100","AB9_20","ABLA","Abbot","Rural","Y2020",9,"FFCZ4000",17.017,54.192,53.19,72.275,72.275,15.166,3.291,5.511,9.146,3.323,4.616,7.644,3.894,5.857,9.272
