"","Bird","Location","year.val","Region","LAeq","LAF90","File.Name"
"1","AB_BS_BK","ABLA","Y2016","Rural",39.3,NA,NA
"831_Data.406","AB_RS_YO","ABLA","Y2016","Rural",36.5,28,"831_Data.406"
"831_Data.443","AB_RS_YO","ABLA","Y2016","Rural",50.7,42.9,"831_Data.443"
"831_Data.458","AB_RS_YO","ABLA","Y2016","Rural",47.6,30.4,"831_Data.458"
"831_Data.416","AB_S_RRY","ABLA","Y2016","Rural",38.2,31.6,"831_Data.416"
"831_Data.463","AB_S_RRY","ABLA","Y2016","Rural",36.6,26,"831_Data.463"
"831_Data.487","AB_S_RRY","ABLA","Y2016","Rural",38.7,30.7,"831_Data.487"
"831_Data.417","AB11_16","ABLA","Y2016","Rural",37.5,33,"831_Data.417"
"831_Data.418","AB_WS_OB","ABLA","Y2016","Rural",42.2,31.5,"831_Data.418"
"831_Data.464","AB_WS_OB","ABLA","Y2016","Rural",36.9,27.4,"831_Data.464"
"831_Data.489","AB_S_KBO","ABLA","Y2016","Rural",35.9,29.8,"831_Data.489"
"831_Data.419","AB13_16","ABLA","Y2016","Rural",46,31.7,"831_Data.419"
"831_Data.465","AB13N_16","ABLA","Y2016","Rural",39.4,30.3,"831_Data.465"
"831_Data.490","AB13N_16","ABLA","Y2016","Rural",41.4,34.2,"831_Data.490"
"831_Data.420","AB_GS_RO","ABLA","Y2016","Rural",48.8,33.4,"831_Data.420"
"831_Data.478","AB_GS_RO","ABLA","Y2016","Rural",39,34.6,"831_Data.478"
"831_Data.509","AB_GS_RO","ABLA","Y2016","Rural",42.2,37.8,"831_Data.509"
"831_Data.529","AB_GS_RO","ABLA","Y2016","Rural",43.2,38.9,"831_Data.529"
"831_Data.421","AB15_16","ABLA","Y2016","Rural",47.5,34.1,"831_Data.421"
"831_Data.424","AB18_16","ABLA","Y2016","Rural",41.3,34.7,"831_Data.424"
"831_Data.456","AB18_16","ABLA","Y2016","Rural",47.3,43.1,"831_Data.456"
"831_Data.466","AB18_16","ABLA","Y2016","Rural",45.5,31,"831_Data.466"
"831_Data.491","AB18_16","ABLA","Y2016","Rural",42.5,32.5,"831_Data.491"
"831_Data.425","AB_S_BKY","ABLA","Y2016","Rural",44.1,38.7,"831_Data.425"
"831_Data.479","AB_S_BKY","ABLA","Y2016","Rural",39.4,33.5,"831_Data.479"
"831_Data.511","AB_S_BKY","ABLA","Y2016","Rural",44.9,37.1,"831_Data.511"
"831_Data.532","AB_S_BKY","ABLA","Y2016","Rural",51.4,39.3,"831_Data.532"
"831_Data.432","AB22_16","ABLA","Y2016","Rural",56.4,51.8,"831_Data.432"
"831_Data.500","AB22_16","ABLA","Y2016","Rural",43.5,39.7,"831_Data.500"
"831_Data.431","AB_S_WOO","ABLA","Y2016","Rural",45.2,40.6,"831_Data.431"
"831_Data.494","AB_S_WOO","ABLA","Y2016","Rural",39,34.4,"831_Data.494"
"831_Data.429","AB24_16","ABLA","Y2016","Rural",42.7,38.2,"831_Data.429"
"831_Data.433","AB25_16","ABLA","Y2016","Rural",57.2,51.3,"831_Data.433"
"831_Data.493","AB25B_16","ABLA","Y2016","Rural",40.5,32.3,"831_Data.493"
"831_Data.497","AB27_16","ABLA","Y2016","Rural",45.7,37.7,"831_Data.497"
"831_Data.436","AB27M_16","ABLA","Y2016","Rural",51.3,48.3,"831_Data.436"
"831_Data.492","AB27M_16","ABLA","Y2016","Rural",40.9,36.9,"831_Data.492"
"831_Data.438","AB28_16","ABLA","Y2016","Rural",46.1,43.5,"831_Data.438"
"831_Data.441","AB29_16","ABLA","Y2016","Rural",48.9,44.9,"831_Data.441"
"831_Data.407","AB3_16","ABLA","Y2016","Rural",44,28.6,"831_Data.407"
"831_Data.444","AB3_16","ABLA","Y2016","Rural",47.5,42.4,"831_Data.444"
"831_Data.459","AB3_16","ABLA","Y2016","Rural",40,29.6,"831_Data.459"
"831_Data.482","AB3_16","ABLA","Y2016","Rural",42.2,35.8,"831_Data.482"
"831_Data.439","AB30_16","ABLA","Y2016","Rural",48.3,45.2,"831_Data.439"
"831_Data.506","AB30_16","ABLA","Y2016","Rural",46,36.8,"831_Data.506"
"831_Data.526","AB30_16","ABLA","Y2016","Rural",41.5,36.6,"831_Data.526"
"831_Data.462","AB_S_KKW","ABLA","Y2016","Rural",34.6,29.8,"831_Data.462"
"831_Data.449","AB32_16","ABLA","Y2016","Rural",48.3,45.9,"831_Data.449"
"831_Data.461","AB32_16","ABLA","Y2016","Rural",39.2,27.4,"831_Data.461"
"831_Data.485","AB32_16","ABLA","Y2016","Rural",50.9,32.1,"831_Data.485"
"831_Data.457","AB33_16","ABLA","Y2016","Rural",45.8,42.7,"831_Data.457"
"831_Data.496","AB_S_YYO","ABLA","Y2016","Rural",50.3,43.4,"831_Data.496"
"831_Data.498","AB36_16","ABLA","Y2016","Rural",47.7,43.1,"831_Data.498"
"831_Data.499","AB37_16","ABLA","Y2016","Rural",62.7,60.2,"831_Data.499"
"831_Data.512","AB_BS_BK","ABLA","Y2016","Rural",39.7,36.5,"831_Data.512"
"831_Data.513","AB39_16","ABLA","Y2016","Rural",39.5,37.2,"831_Data.513"
"831_Data.408","AB4_16","ABLA","Y2016","Rural",38.4,27.5,"831_Data.408"
"831_Data.469","AB4_16","ABLA","Y2016","Rural",41.6,36.4,"831_Data.469"
"831_Data.502","AB4_16","ABLA","Y2016","Rural",41.2,39.2,"831_Data.502"
"831_Data.519","AB4_16","ABLA","Y2016","Rural",42.3,39.7,"831_Data.519"
"831_Data.514","AB40_16","ABLA","Y2016","Rural",48.7,44.1,"831_Data.514"
"831_Data.515","AB41_16","ABLA","Y2016","Rural",54.4,51.3,"831_Data.515"
"831_Data.470","AB_S_YOW","ABLA","Y2016","Rural",48.4,29,"831_Data.470"
"831_Data.503","AB_S_YOW","ABLA","Y2016","Rural",46.4,39.1,"831_Data.503"
"831_Data.521","AB_S_YOW","ABLA","Y2016","Rural",44.8,40.2,"831_Data.521"
"831_Data.413","AB7_16","ABLA","Y2016","Rural",33.2,27.3,"831_Data.413"
"831_Data.414","AB_GS_WK","ABLA","Y2016","Rural",44.7,27.8,"831_Data.414"
"831_Data.525","AB_GS_WK","ABLA","Y2016","Rural",46.5,41.4,"831_Data.525"
"831_Data.415","AB_GS_GB","ABLA","Y2016","Rural",34.4,29.1,"831_Data.415"
"831_Data.472","AB_GS_GB","ABLA","Y2016","Rural",37.3,28.3,"831_Data.472"
"831_Data.505","AB_GS_GB","ABLA","Y2016","Rural",40.6,36.8,"831_Data.505"
"831_Data.524","AB_GS_GB","ABLA","Y2016","Rural",44.1,38.3,"831_Data.524"
"831_Data.531","ABLAblackberry_16","ABLA","Y2016","Rural",40.3,36.7,"831_Data.531"
"831_Data.480","ABLAblackberry_16","ABLA","Y2016","Rural",50.3,33.8,"831_Data.480"
"831_Data.409","AB_BR_YS","ABLA","Y2016","Rural",40.9,28.8,"831_Data.409"
"831_Data.445","AB_BR_YS","ABLA","Y2016","Rural",46.1,41.9,"831_Data.445"
"831_Data.460","AB_BR_YS","ABLA","Y2016","Rural",42.9,29.2,"831_Data.460"
"98","AB_BR_YS","ABLA","Y2016","Rural",42.7,NA,NA
"831_Data.508","AB_OWO_S","ABLA","Y2016","Rural",39.9,37.5,"831_Data.508"
"831_Data.447","AB_KS_BR","ABLA","Y2016","Rural",46.8,43.8,"831_Data.447"
"831_Data.468","AB_OOY_S","ABLA","Y2016","Rural",42.1,31.4,"831_Data.468"
"831_Data.501","AB_OOY_S","ABLA","Y2016","Rural",43.7,38.7,"831_Data.501"
"831_Data.518","AB_OOY_S","ABLA","Y2016","Rural",45.1,39.4,"831_Data.518"
"831_Data.411","AB_YS_GB","ABLA","Y2016","Rural",40.3,27.6,"831_Data.411"
"831_Data.446","AB_YS_GB","ABLA","Y2016","Rural",44.3,41.4,"831_Data.446"
"831_Data.467","AB_YS_GB","ABLA","Y2016","Rural",34.2,27.3,"831_Data.467"
"114","AB_YS_GB","ABLA","Y2016","Rural",41.3,NA,NA
"831_Data.320","BABE_KG_RS","BABE","Y2016","Urban",47.9,45.7,"831_Data.320"
"831_Data.345","BABE_KG_RS","BABE","Y2016","Urban",45.9,38.2,"831_Data.345"
"831_Data.376","BABE_KG_RS","BABE","Y2016","Urban",44.3,41.5,"831_Data.376"
"831_Data.321","BABE_MS_RY","BABE","Y2016","Urban",55.5,47.3,"831_Data.321"
"831_Data.347","BABE_MS_RY","BABE","Y2016","Urban",50,39.9,"831_Data.347"
"831_Data.377","BABE_MS_RY","BABE","Y2016","Urban",50.5,42.5,"831_Data.377"
"831_Data.323","BABE_S_OBG","BABE","Y2016","Urban",57.3,54.1,"831_Data.323"
"831_Data.349","BABE_S_OBG","BABE","Y2016","Urban",57.7,52.8,"831_Data.349"
"831_Data.379","BABE_S_OBG","BABE","Y2016","Urban",62.6,59.1,"831_Data.379"
"831_Data.322","BABE_RS_MK","BABE","Y2016","Urban",54.3,49.3,"831_Data.322"
"831_Data.348","BABE_RS_MK","BABE","Y2016","Urban",44.6,40.3,"831_Data.348"
"831_Data.378","BABE_RS_MK","BABE","Y2016","Urban",54,44.7,"831_Data.378"
