,"fName","File.Name","Serial.Number","Model","Firmware.Version","Start","Stop",Duration,Run.Time,Pause,"Pre.Calibration","Post.Calibration","Calibration.Deviation","RMS.Weight","Peak.Weight","Detector","Preamp","Microphone.Correction","Integration.Method","OBA.Range","OBA.Bandwidth","OBA.Freq..Weighting","OBA.Max.Spectrum",Gain,Overload,LAeq,LAE,EA,SEA,LCeq,LCeq...LAeq,LAIeq,LAIeq...LAeq,X..Overloads,Overload.Duration,X..OBA.Overloads,OBA.Overload.Duration,LAF66.60,LAF90.00
831_Data.127,"831_Data_127.xlsx","831_Data.127","3827","Model 831","2.301","2015-06-11 10:41:19 -0400","2015-06-11 10:46:03 -0400",283.2,283.2,0.0,"2015-06-11 09:17:24 -0400","None","---","A Weighting","Z Weighting","Fast","PRM831","RI:FF","Linear","Normal","1/1 and 1/3","Z Weighting","Bin Max",0.0000,145.6953,53.3377,77.8586,6.7860,-99.9400,60.2326,6.8950,59.5455,6.2078,0.0000,0.0000,0.0000,0.0,35.8,29.1
831_Data.134,"831_Data_134.xlsx","831_Data.134","3827","Model 831","2.301","2015-06-11 11:58:08 -0400","2015-06-11 12:02:46 -0400",277.8,277.8,0.0,"2015-06-11 09:17:24 -0400","None","---","A Weighting","Z Weighting","Fast","PRM831","RI:FF","Linear","Normal","1/1 and 1/3","Z Weighting","Bin Max",0.0000,145.6953,45.5598,69.9971,1.1104,-99.9400,51.6279,6.0681,53.5183,7.9585,0.0000,0.0000,0.0000,0.0,28.4,23.9
831_Data.136,"831_Data_136.xlsx","831_Data.136","3827","Model 831","2.301","2015-06-11 12:10:27 -0400","2015-06-11 12:12:55 -0400",131.1,131.1,0.0,"2015-06-11 09:17:24 -0400","None","---","A Weighting","Z Weighting","Fast","PRM831","RI:FF","Linear","Normal","1/1 and 1/3","Z Weighting","Bin Max",0.0000,145.6953,50.9963,72.1723,1.8323,-99.9400,56.6796,5.6833,56.8618,5.8655,0.0000,0.0000,0.0000,0.0,33.0,29.3
831_Data.137,"831_Data_137.xlsx","831_Data.137","3827","Model 831","2.301","2015-06-11 12:14:37 -0400","2015-06-11 12:17:34 -0400",177.0,177.0,0.0,"2015-06-11 09:17:24 -0400","None","---","A Weighting","Z Weighting","Fast","PRM831","RI:FF","Linear","Normal","1/1 and 1/3","Z Weighting","Bin Max",0.0000,145.6953,51.5950,74.0747,2.8394,-99.9400,54.2177,2.6228,58.0065,6.4115,0.0000,0.0000,0.0000,0.0,35.5,25.7
831_Data.138,"831_Data_138.xlsx","831_Data.138","3827","Model 831","2.301","2015-06-11 12:17:47 -0400","2015-06-11 12:23:37 -0400",349.3,349.3,0.0,"2015-06-11 09:17:24 -0400","None","---","A Weighting","Z Weighting","Fast","PRM831","RI:FF","Linear","Normal","1/1 and 1/3","Z Weighting","Bin Max",0.0000,145.6953,47.5981,73.0301,2.2324,-99.9400,56.1946,8.5965,54.5183,6.9202,0.0000,0.0000,0.0000,0.0,29.6,25.4
831_Data.139,"831_Data_139.xlsx","831_Data.139","3827","Model 831","2.301","2015-06-11 12:27:53 -0400","2015-06-11 12:29:58 -0400",124.2,124.2,0.0,"2015-06-11 09:17:24 -0400","None","---","A Weighting","Z Weighting","Fast","PRM831","RI:FF","Linear","Normal","1/1 and 1/3","Z Weighting","Bin Max",0.0000,145.6953,45.0578,65.9990,0.4422,-99.9400,53.1188,8.0610,51.9390,6.8812,0.0000,0.0000,0.0000,0.0,26.9,25.6
831_Data.140,"831_Data_140.xlsx","831_Data.140","3827","Model 831","2.301","2015-06-11 12:36:35 -0400","2015-06-11 12:39:11 -0400",155.2,155.2,0.0,"2015-06-11 09:17:24 -0400","None","---","A Weighting","Z Weighting","Fast","PRM831","RI:FF","Linear","Normal","1/1 and 1/3","Z Weighting","Bin Max",0.0000,145.6953,49.4994,71.4083,1.5367,-99.9400,58.3919,8.8925,55.2291,5.7297,0.0000,0.0000,0.0000,0.0,31.1,26.4
831_Data.145,"831_Data_145.xlsx","831_Data.145","3827","Model 831","2.301","2015-06-11 14:15:32 -0400","2015-06-11 14:22:51 -0400",440.4,440.4,0.0,"2015-06-11 09:17:24 -0400","None","---","A Weighting","Z Weighting","Fast","PRM831","RI:FF","Linear","Normal","1/1 and 1/3","Z Weighting","Bin Max",0.0000,145.6953,50.6470,77.0854,5.6794,-99.9400,57.6722,7.0252,57.7217,7.0747,0.0000,0.0000,0.0000,0.0,33.3,28.0
831_Data.149,"831_Data_149.xlsx","831_Data.149","3827","Model 831","2.301","2015-06-11 15:33:37 -0400","2015-06-11 15:37:31 -0400",233.7,233.7,0.0,"2015-06-11 09:17:24 -0400","None","---","A Weighting","Z Weighting","Fast","PRM831","RI:FF","Linear","Normal","1/1 and 1/3","Z Weighting","Bin Max",0.0000,145.6953,50.1747,73.8613,2.7032,-99.9400,72.3814,22.2067,57.1947,7.0200,0.0000,0.0000,0.0000,0.0,39.8,36.3
831_Data.150,"831_Data_150.xlsx","831_Data.150","3827","Model 831","2.301","2015-06-11 15:38:57 -0400","2015-06-11 15:41:51 -0400",173.9,173.9,0.0,"2015-06-11 09:17:24 -0400","None","---","A Weighting","Z Weighting","Fast","PRM831","RI:FF","Linear","Normal","1/1 and 1/3","Z Weighting","Bin Max",0.0000,145.6953,51.6204,74.0234,2.8060,-99.9400,69.4125,17.7921,57.9973,6.3769,0.0000,0.0000,0.0000,0.0,34.1,31.4
