"","song.id","bird.id","location","dialect","region","year","distance","duration","bg.OBCZ2000","bg.OBCZ2500","bg.OBCZ3150","bg.OBCZ4000","bg.OBCZ5000","bg.OBCZ6300","bg.OBCZ8000","ambient.LAeq","SENEL.total","SENEL.song","SEL.LZeq","song.bands.OBCZ2000","song.bands.OBCZ2500","song.bands.OBCZ3150","song.bands.OBCZ4000","song.bands.OBCZ5000","song.bands.OBCZ6300","song.bands.OBCZ8000","song.bands.OBCZ2000.SNR","song.bands.OBCZ2500.SNR","song.bands.OBCZ3150.SNR","song.bands.OBCZ4000.SNR","song.bands.OBCZ5000.SNR","song.bands.OBCZ6300.SNR","song.bands.OBCZ8000.SNR"
"PR__ABLA.005_01950","PR__ABLA.005_01950","AB3_20","ABLA","Abbot","Rural","Y2020",8,1.66,18.746,17.434,15.482,13.529,11.646,6.388,7.569,40.093,54.572,53.645,71.707,22.974,26.218,52.49,68.54,61.559,47.939,28.096,2.026,6.583,34.807,52.81,47.712,39.35,18.326
"PR__ABLA.005_02750","PR__ABLA.005_02750","AB3_20","ABLA","Abbot","Rural","Y2020",8,1.48,29.04,27.367,25.158,28.96,26.496,9.884,8.318,45.373,56.138,55.296,73.358,-43.138,-43.238,52.119,69.32,67.36,54.518,31.178,-73.881,-72.308,25.258,38.658,39.162,42.932,21.157
"PR__ABLA.005_03750","PR__ABLA.005_03750","AB3_20","ABLA","Abbot","Rural","Y2020",8,1.58,25.935,19.309,18.571,16.699,13.049,6.879,7.978,47.027,48.542,47.692,65.754,-43.138,-43.238,50.416,61.349,58.918,49.874,18.167,-71.059,-64.534,29.859,42.664,43.882,41.009,8.203
"PR__ABLA.005_04700","PR__ABLA.005_04700","AB3_20","ABLA","Abbot","Rural","Y2020",8,1.66,24.702,23.823,20.929,18.452,16.008,7.624,7.906,42.094,57.978,57.157,75.219,-43.138,-43.238,54.535,70.921,68.161,57.768,31.14,-70.041,-69.262,31.405,50.268,49.952,47.943,21.032
"PR__ABLA.005_05550","PR__ABLA.005_05550","AB3_20","ABLA","Abbot","Rural","Y2020",8,1.68,14.785,12.699,14.794,20.516,18.316,9.262,8.393,48.459,60.774,59.999,78.061,-43.138,-43.238,57.458,73.148,71.796,61.181,34.237,-60.176,-58.19,40.41,50.379,51.226,49.666,23.591
"PR__ABLA.010_00650","PR__ABLA.010_00650","AB5_20","ABLA","Abbot","Rural","Y2020",14,2.18,30.115,22.944,23.041,22.073,19.11,9.068,8.787,NA,53.679,52.881,75.803,-38.277,40.735,51.205,68.747,69.643,56.478,32.783,-71.777,14.406,24.779,43.289,47.148,44.026,20.611
"PR__ABLA.010_01950","PR__ABLA.010_01950","AB5_20","ABLA","Abbot","Rural","Y2020",14,2.06,19.764,17.509,19.811,21.03,18.15,12.216,15.548,37.827,57.092,56.376,79.299,37.119,40.66,55.721,72.248,73.559,60.187,-35.977,14.217,20.012,32.771,48.079,52.27,44.832,-54.665
"PR__ABLA.010_03250","PR__ABLA.010_03250","AB5_20","ABLA","Abbot","Rural","Y2020",14,2.18,18.572,16.502,16.502,17.515,17.295,9.656,17.584,36.489,56.969,56.204,79.127,-38.277,40.192,54.586,72.93,72.027,61.125,-35.977,-60.234,20.306,34.7,52.031,51.348,48.085,-56.946
"PR__ABLA.010_04250","PR__ABLA.010_04250","AB5_20","ABLA","Abbot","Rural","Y2020",14,2.18,27.156,26.965,24.87,23.407,20.237,10.015,8.615,47.816,57.462,56.699,79.622,-38.277,-38.377,55.406,72.836,73.177,61.206,31.42,-68.818,-68.727,27.151,46.044,49.556,47.807,19.421
"PR__ABLA.016_04100","PR__ABLA.016_04100","AB9_20","ABLA","Abbot","Rural","Y2020",9,1.54,17.425,16.088,15.794,17.017,18.312,7.789,8.274,35.122,50.653,49.718,68.803,30.054,31.469,42.131,66.028,59.12,43.803,25.945,10.754,13.506,24.461,47.135,38.933,34.138,15.795
"PR__ABLA.016_04750","PR__ABLA.016_04750","AB9_20","ABLA","Abbot","Rural","Y2020",9,1.54,17.425,16.088,15.794,17.017,18.312,7.789,8.274,41.687,50.403,49.482,68.567,-42.115,-42.215,48.173,65.615,59.379,45.116,25.191,-61.415,-60.178,30.503,46.722,39.191,35.451,15.042
"PR__ABLA.016_05600","PR__ABLA.016_05600","AB9_20","ABLA","Abbot","Rural","Y2020",9,1.6,17.425,16.088,15.794,17.017,18.312,7.789,8.274,41.401,51.537,50.692,69.777,-42.115,-42.215,46.356,65.816,62.88,48.025,25.917,-61.581,-60.344,28.521,46.757,42.527,38.194,15.601
"PR__ABLA.016_06350","PR__ABLA.016_06350","AB9_20","ABLA","Abbot","Rural","Y2020",9,1.48,17.425,16.088,15.794,17.017,18.312,7.789,8.274,42.404,51.2,50.302,69.387,-42.115,-42.215,47.085,66.417,61.147,47.263,29.4,-61.242,-60.006,29.588,47.697,41.133,37.771,19.423
"PR__ABLA.016_06900","PR__ABLA.016_06900","AB9_20","ABLA","Abbot","Rural","Y2020",9,1.86,17.425,16.088,15.794,17.017,18.312,7.789,8.274,42.124,55.776,54.952,74.036,-42.115,-42.215,53.126,69.181,66.829,52.258,31.851,-62.235,-60.998,34.637,49.468,45.822,41.774,20.881
"PR__ABLA.016_08750","PR__ABLA.016_08750","AB9_20","ABLA","Abbot","Rural","Y2020",9,1.42,17.425,16.088,15.794,17.017,18.312,7.789,8.274,39.633,54.549,53.681,72.766,-42.115,-42.215,46.793,69.745,65.469,51.035,28.866,-61.063,-59.826,29.475,51.205,45.635,41.722,19.069
