"song.id","bird","location","year","freq_lo","freq_hi","trill.bw","trill.rate","Deviation","region","dialect","vp"
"AB_BS_BK.16a","AB_BS_BK","ABLA","Y2016",2530.1,5879.5,3349.4,8.49617672,25.38,"Rural","Abbot",-25.38
"AB_BS_BK.16b","AB_BS_BK","ABLA","Y2016",2457.8,5590.4,3132.6,8.507742045,27.12,"Rural","Abbot",-27.12
"AB_BS_BK.16c","AB_BS_BK","ABLA","Y2016",2747,5975.9,3228.9,9.259259259,25.59,"Rural","Abbot",-25.59
"AB_BS_BK.16d","AB_BS_BK","ABLA","Y2016",2674.7,6939.8,4265.1,7.8125,18.68,"Rural","Abbot",-18.68
"AB_BS_BK.16f","AB_BS_BK","ABLA","Y2016",2771.1,5686.7,2915.6,7.8125,29.56,"Rural","Abbot",-29.56
"AB_BS_BK.16h","AB_BS_BK","ABLA","Y2016",2771.1,5662.7,2891.6,8.554319932,29.01,"Rural","Abbot",-29.01
"AB_BR_YS.16a","AB_BR_YS","ABLA","Y2016",2828,6263.8,3435.8,9.167583425,24.01,"Rural","Abbot",-24.01
"AB_BR_YS.16b","AB_BR_YS","ABLA","Y2016",2851.4,6801.3,3949.9,8.915834522,20.12,"Rural","Abbot",-20.12
"AB_BR_YS.16c","AB_BR_YS","ABLA","Y2016",2828,6310.5,3482.5,9.201042785,23.6,"Rural","Abbot",-23.6
"AB_BR_YS.16d","AB_BR_YS","ABLA","Y2016",2921.5,6263.8,3342.3,9.00090009,24.93,"Rural","Abbot",-24.93
"AB_BR_YS.16e","AB_BR_YS","ABLA","Y2016",2874.8,6661.1,3786.3,9.0184879,21.33,"Rural","Abbot",-21.33
"AB_BR_YS.16f","AB_BR_YS","ABLA","Y2016",2874.8,6707.8,3833,9.096422074,20.88,"Rural","Abbot",-20.88
"AB_BR_YS.16g","AB_BR_YS","ABLA","Y2016",2898.2,6661.1,3762.9,8.893406175,21.65,"Rural","Abbot",-21.65
"AB_BR_YS.16h","AB_BR_YS","ABLA","Y2016",2898.2,6684.5,3786.3,9.074410163,21.28,"Rural","Abbot",-21.28
"AB_BR_YS.16i","AB_BR_YS","ABLA","Y2016",2968.3,6567.6,3599.3,8.960573477,22.9,"Rural","Abbot",-22.9
"AB_BR_YS.16j","AB_BR_YS","ABLA","Y2016",2921.5,6801.3,3879.8,9.0184879,20.58,"Rural","Abbot",-20.58
"AB_GS_GB.16a","AB_GS_GB","ABLA","Y2016",2874.8,6450.8,3576,9.105809506,22.94,"Rural","Abbot",-22.94
"AB_GS_GB.16b","AB_GS_GB","ABLA","Y2016",2898.2,6263.8,3365.6,8.748906387,25,"Rural","Abbot",-25
"AB_GS_RO.16a","AB_GS_RO","ABLA","Y2016",2521.4,6519.4,3998,7.922360864,20.72,"Rural","Abbot",-20.72
"AB_GS_RO.16b","AB_GS_RO","ABLA","Y2016",2688.6,6421.9,3733.3,8.069722402,22.71,"Rural","Abbot",-22.71
"AB_GS_RO.16c","AB_GS_RO","ABLA","Y2016",2479.6,6185.1,3705.5,8.52151683,22.48,"Rural","Abbot",-22.48
"AB_GS_RO.16d","AB_GS_RO","ABLA","Y2016",2591,6282.6,3691.6,8.356545961,22.76,"Rural","Abbot",-22.76
"AB_GS_RO.16e","AB_GS_RO","ABLA","Y2016",2563.2,6171.1,3607.9,8.069722402,23.72,"Rural","Abbot",-23.72
"AB_GS_RO.16f","AB_GS_RO","ABLA","Y2016",2563.2,6129.4,3566.2,8.552490913,23.57,"Rural","Abbot",-23.57
"AB_GS_RO.16g","AB_GS_RO","ABLA","Y2016",2591,6087.6,3496.6,8.327781479,24.36,"Rural","Abbot",-24.36
"AB_GS_RO.16h","AB_GS_RO","ABLA","Y2016",2618.9,5962.2,3343.3,8.185985593,25.74,"Rural","Abbot",-25.74
"AB_GS_RO.16j","AB_GS_RO","ABLA","Y2016",2591,5962.2,3371.2,8.186655751,25.51,"Rural","Abbot",-25.51
"AB_GS_WK.16a","AB_GS_WK","ABLA","Y2016",2500.8,6427.4,3926.6,9.149130833,20.07,"Rural","Abbot",-20.07
"AB_GS_WK.16b","AB_GS_WK","ABLA","Y2016",2407.3,6217,3809.7,9.426551453,20.74,"Rural","Abbot",-20.74
"AB_GS_WK.16c","AB_GS_WK","ABLA","Y2016",2664.4,6287.1,3622.7,9.112447603,22.56,"Rural","Abbot",-22.56
"AB_GS_WK.16d","AB_GS_WK","ABLA","Y2016",2898.2,7105.2,4207,9.137983552,17.82,"Rural","Abbot",-17.82
"AB_GS_WK.16e","AB_GS_WK","ABLA","Y2016",2477.5,6357.3,3879.8,9.472687086,20.13,"Rural","Abbot",-20.13
"AB_GS_WK.16f","AB_GS_WK","ABLA","Y2016",2921.5,6591,3669.5,8.990110878,22.3,"Rural","Abbot",-22.3
"AB_GS_WK.16g","AB_GS_WK","ABLA","Y2016",2524.2,6427.4,3903.2,9.460737938,19.95,"Rural","Abbot",-19.95
"AB_GS_WK.16h","AB_GS_WK","ABLA","Y2016",2547.6,6333.9,3786.3,9.759271308,20.59,"Rural","Abbot",-20.59
"AB_GS_WK.16i","AB_GS_WK","ABLA","Y2016",2687.8,6637.7,3949.9,9.218289086,19.81,"Rural","Abbot",-19.81
"AB_GS_WK.16j","AB_GS_WK","ABLA","Y2016",2500.8,6591,4090.2,9.596928983,18.3,"Rural","Abbot",-18.3
"AB_OS_WO.16a","AB_OS_WO","ABLA","Y2016",2702.5,6491.5,3789,8.71459695,21.62,"Rural","Abbot",-21.62
"AB_OS_WO.16b","AB_OS_WO","ABLA","Y2016",2730.3,6505.5,3775.2,8.637070306,21.8,"Rural","Abbot",-21.8
"AB_OS_WO.16c","AB_OS_WO","ABLA","Y2016",2716.4,6505.5,3789.1,8.508224617,21.82,"Rural","Abbot",-21.82
"AB_OS_WO.16d","AB_OS_WO","ABLA","Y2016",2827.9,6770.1,3942.2,8.55871277,20.54,"Rural","Abbot",-20.54
"AB_OS_WO.16e","AB_OS_WO","ABLA","Y2016",2758.2,6561.2,3803,8.662508663,21.55,"Rural","Abbot",-21.55
"AB_OS_WO.16f","AB_OS_WO","ABLA","Y2016",2758.2,6630.8,3872.6,8.533879502,21.12,"Rural","Abbot",-21.12
"AB_OS_WO.16g","AB_OS_WO","ABLA","Y2016",2716.4,6519.4,3803,8.385041087,21.83,"Rural","Abbot",-21.83
"AB_OS_WO.16h","AB_OS_WO","ABLA","Y2016",2730.3,6616.9,3886.6,8.585164835,20.96,"Rural","Abbot",-20.96
"AB_OS_WO.16i","AB_OS_WO","ABLA","Y2016",2758.2,6254.7,3496.5,8.559550012,24.13,"Rural","Abbot",-24.13
"AB_OS_WO.16j","AB_OS_WO","ABLA","Y2016",2744.3,6477.6,3733.3,8.424599832,22.35,"Rural","Abbot",-22.35
"AB_RS_YO.16a","AB_RS_YO","ABLA","Y2016",2921.5,6240.4,3318.9,8.821453776,25.3,"Rural","Abbot",-25.3
"AB_RS_YO.16b","AB_RS_YO","ABLA","Y2016",2641.1,7362.3,4721.2,9.340556697,13.47,"Rural","Abbot",-13.47
"AB_RS_YO.16c","AB_RS_YO","ABLA","Y2016",2874.8,6380.6,3505.8,9.187798603,23.43,"Rural","Abbot",-23.43
"AB_RS_YO.16d","AB_RS_YO","ABLA","Y2016",2828,6614.4,3786.4,8.894159502,21.46,"Rural","Abbot",-21.46
"AB_RS_YO.16e","AB_RS_YO","ABLA","Y2016",2898.2,6427.4,3529.2,9.074410163,23.35,"Rural","Abbot",-23.35
"AB_RS_YO.16f","AB_RS_YO","ABLA","Y2016",2711.2,6544.2,3833,9.043635541,20.93,"Rural","Abbot",-20.93
"AB_RS_YO.16g","AB_RS_YO","ABLA","Y2016",2851.4,6497.5,3646.1,9.045680687,22.44,"Rural","Abbot",-22.44
"AB_RS_YO.16h","AB_RS_YO","ABLA","Y2016",2804.7,6357.3,3552.6,8.805917577,23.43,"Rural","Abbot",-23.43
"AB_RS_YO.16i","AB_RS_YO","ABLA","Y2016",2804.7,6287.1,3482.4,8.549931601,24.25,"Rural","Abbot",-24.25
"AB_RS_YO.16j","AB_RS_YO","ABLA","Y2016",2851.4,6567.6,3716.2,9.082652134,21.83,"Rural","Abbot",-21.83
"AB_S_BKY.16a","AB_S_BKY","ABLA","Y2016",2891.6,6650.6,3759,7.256894049,23.31,"Rural","Abbot",-23.31
"AB_S_BKY.16b","AB_S_BKY","ABLA","Y2016",2819.3,7084.3,4265,7.114905727,19.38,"Rural","Abbot",-19.38
"AB_S_BKY.16c","AB_S_BKY","ABLA","Y2016",2843.4,6722.9,3879.5,7.183908046,22.42,"Rural","Abbot",-22.42
